"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"i have a zoom meeting with my professor in 5 minutes and i feel like throwing up. this is what happens when you don… https://t.co/9t7IRXQvbw",FALSE,0,NA,2021-09-27 04:54:21,TRUE,NA,"1442351884426092549",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","gintokisdick",0,FALSE,FALSE,NA,NA
"RT @MarknNiceOfcl: 𝗠𝗻𝗡 𝗦𝗵𝗼𝗽 𝗢𝗳𝗰𝗹 𝗣𝗿𝗶𝗰𝗲𝗹𝗶𝘀𝘁
     𝙰𝚏𝚏𝚘𝚛𝚍𝚊𝚋𝚕𝚎 𝚏𝚘𝚛 𝚊𝚕𝚕

Tags: canva netflix mlbb dias garena shells spotify grammarly cheggstud…",FALSE,0,NA,2021-09-27 04:54:20,FALSE,NA,"1442351881875951619",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","yoshiwin5",30,TRUE,FALSE,NA,NA
"Tuesday 09.28.21 WE'RE HOSTING A FORUM @ 6pm
For Rome City Schools Board of Education Candidates Watch on Zoom or F… https://t.co/CfUWOfsnO6",FALSE,0,NA,2021-09-27 04:54:18,TRUE,NA,"1442351873730629636",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","OneCommuniUni",0,FALSE,FALSE,NA,NA
"New artwork for sale! - \"Top 10 Features for an Ecommerce Mobile Application An Infographic \" -… https://t.co/Y5oZMSbuMo",FALSE,0,NA,2021-09-27 04:54:13,TRUE,NA,"1442351851509268480",NA,"<a href=\"https://fineartamerica.com\" rel=\"nofollow\">Fine Art America</a>","webgurutweet",0,FALSE,FALSE,NA,NA
"@nottoolame420 its too accurate for it not to be real bruh i tried to zoom in on one of the pics and it said 4/22 a… https://t.co/oJjyb7DRxm",FALSE,0,"nottoolame420",2021-09-27 04:54:11,TRUE,"1442339895486255105","1442351844030881794","722462735598915585","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","yerbalization",0,FALSE,FALSE,NA,NA
"RT @RapperPandit: Click&amp;Zoom this Pic : 1000 Reasons to Boycott Manyvars overpriced collection. Sharing with you Three

1. First Note the s…",FALSE,0,NA,2021-09-27 04:54:10,FALSE,NA,"1442351836279623684",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","kartarsainani",51,TRUE,FALSE,NA,NA
"RT @InfoMetahash: 🔥ZERO fee everyday realtime shopping w/crypto: https://t.co/cxRbJWX2tK, NFTs, tokens, smartC, decentralized apps (exchang…",FALSE,0,NA,2021-09-27 04:54:00,FALSE,NA,"1442351798296088578",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ipuyanamrai1",13517,TRUE,FALSE,NA,NA
"@Kookiekhassoyji @taetaebiss @vntgejhs It was so funny tho. He had no care in the world. I was like how can you tak… https://t.co/jFTl3Z7pLk",FALSE,0,"Kookiekhassoyji",2021-09-27 04:53:52,TRUE,"1442092882228232192","1442351761243602952","3023986636","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Jimin_neutron_",0,FALSE,FALSE,NA,NA
"RT @iConversations: Zip Zoom Space &amp; Time #VaVaVoom. © dmp 2014, former: 

@NASA Satellite Database Modeler 
@JPMorgan Asst VP 
@IBM Global…",FALSE,0,NA,2021-09-27 04:53:50,FALSE,NA,"1442351752561496066",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","salonsaturday",1,TRUE,FALSE,NA,NA
"RT @KnowledgeLens: We are pleased to share that we have been featured on @YourStoryCo's Top 30 Quotes on #digitaltransformation: https://t.…",FALSE,0,NA,2021-09-27 04:53:47,FALSE,NA,"1442351741899456517",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SnehaChristall",2,TRUE,FALSE,NA,NA
"🔆 Brillo al 100%
⏺ Zoom Al 100% https://t.co/Wb7NSXbqkn",FALSE,0,NA,2021-09-27 04:53:47,FALSE,NA,"1442351741786157061",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","gaypanamapas",0,FALSE,FALSE,NA,NA
"Weekend project: Done!

FINALLY made a workspace that I love! ❤️ #LifeAtShopify #WorkFromHome https://t.co/t91JSo9ikg",FALSE,0,NA,2021-09-27 04:53:45,FALSE,NA,"1442351733208801283",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","TraceySawatzky",0,FALSE,FALSE,NA,NA
"RT @Inside_TheMatch: Come check out the University at Buffalo’s Pediatric Residency Program! #PedsMatch2022. Date: Wednesday, Sept 29th, Ti…",FALSE,0,NA,2021-09-27 04:53:45,FALSE,NA,"1442351731539644416",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","franhemelean",5,TRUE,FALSE,NA,NA
"RT @RealEdenMccoy: there was so much LOVE on that zoom- thank u #GH fans for showing us your beautiful, smiling faces and spending your Sun…",FALSE,0,NA,2021-09-27 04:53:44,FALSE,NA,"1442351728985313280",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","JosslynFan",13,TRUE,FALSE,NA,NA
"when u got lot of work then some rando wants to get you into a zoom meeting without a schedule, like wtf?",FALSE,0,NA,2021-09-27 04:53:44,FALSE,NA,"1442351727961796611",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","eezz4444",0,FALSE,FALSE,NA,NA
"RT @InfoMetahash: 🔥ZERO fee everyday realtime shopping w/crypto: https://t.co/cxRbJWX2tK, NFTs, tokens, smartC, decentralized apps (exchang…",FALSE,0,NA,2021-09-27 04:53:43,FALSE,NA,"1442351724245573632",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","AllRiseSanti",13517,TRUE,FALSE,NA,NA
"RT @CryptooIndia: When in doubt, zoom out !! https://t.co/VaFDhzMJvS",FALSE,0,NA,2021-09-27 04:53:38,FALSE,NA,"1442351703161032705",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Cryptoniers",29,TRUE,FALSE,NA,NA
"I would be interested in joining a zoom call with friends where we chat about books songs sports teams movies we wa… https://t.co/AkxX1Q8jHD",FALSE,0,NA,2021-09-27 04:53:38,TRUE,NA,"1442351703135637508",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","anomaly113",0,FALSE,FALSE,NA,NA
"RT @InfoMetahash: 🔥ZERO fee everyday realtime shopping w/crypto: https://t.co/cxRbJWX2tK, NFTs, tokens, smartC, decentralized apps (exchang…",FALSE,0,NA,2021-09-27 04:53:38,FALSE,NA,"1442351702988918786",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","taecityxs",13517,TRUE,FALSE,NA,NA
"WHY DOES THIS FUCKING NCTZENNIE JAVE A SHIP NAME IN HER DN ON ZOOM ill throw up for real https://t.co/omxG2FuJCv",FALSE,0,NA,2021-09-27 04:53:29,FALSE,NA,"1442351668356472836",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","YOTASEKAI",0,FALSE,FALSE,NA,NA
"RT @TylerIAm: \"Lets zoom into his helmet and see Davante adams lifeless eyes'\"",FALSE,0,NA,2021-09-27 04:53:27,FALSE,NA,"1442351658323824640",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","RandyWilliams09",526,TRUE,FALSE,NA,NA
"RT @HHelpify: 🍥MJ's Premium Accounts🍣

- Other premium accounts are available. DM to inquire!

🌺 spotify, quizlet, youtube, hbo max, viu, c…",FALSE,0,NA,2021-09-27 04:53:18,FALSE,NA,"1442351621254488074",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","entelaa_",491,TRUE,FALSE,NA,NA
"RT @dayoungjia: zoom if you miss yoon jia https://t.co/zsiYxbiA0v",FALSE,0,NA,2021-09-27 04:53:18,FALSE,NA,"1442351619480317956",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","cherrybabyyou",379,TRUE,FALSE,NA,NA
"@nkprst I'm aware of the apps, I'm just not interested in more time on zoom / online and it's not been easy to meet… https://t.co/q40WpXaMt3",FALSE,0,"nkprst",2021-09-27 04:53:15,TRUE,"1442350969350602755","1442351605500637187","65076276","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","drkatrinablack",0,FALSE,FALSE,NA,NA
"RT @hamsterwatch: Julie said \"all 16 will reunite\" on finale.. 
last year's version of this episode had pre-jurors meeting by zoom #bb23",FALSE,0,NA,2021-09-27 04:53:14,FALSE,NA,"1442351602061414402",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","JudyWinslow_fm",8,TRUE,FALSE,NA,NA
"RT @InfoMetahash: 🔥ZERO fee everyday realtime shopping w/crypto: https://t.co/cxRbJWX2tK, NFTs, tokens, smartC, decentralized apps (exchang…",FALSE,0,NA,2021-09-27 04:53:13,FALSE,NA,"1442351598294818819",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","_janine24",13517,TRUE,FALSE,NA,NA
"Me showing up 2 my zoom classes https://t.co/RNXPg3FfBe",FALSE,0,"yascals",2021-09-27 04:53:12,FALSE,"1442349973165674503","1442351594402508804","1401135656248614914","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","yascals",0,FALSE,FALSE,NA,NA
"both of my courses have the ability for students who are quarantining or sick to watch remotely via zoom. this is p… https://t.co/fodRfrEI9H",FALSE,0,NA,2021-09-27 04:53:12,TRUE,NA,"1442351593924423686",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","nickchk",0,FALSE,FALSE,NA,NA
"@gisellevels abis zoom",FALSE,0,"gisellevels",2021-09-27 04:53:10,FALSE,"1442349971538255873","1442351585225412611","608856140","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","imykarina",0,FALSE,FALSE,NA,NA
"@ScottMorrisonMP So while Australians are stranded overseas you can jet off to New York come back and now consideri… https://t.co/XJFbXDjI8V",FALSE,0,"ScottMorrisonMP",2021-09-27 04:53:05,TRUE,NA,"1442351564237144070","34116377","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Werallsurvivors",0,FALSE,FALSE,NA,NA
"RT @jeffbullas: 5 Fundamental Social Media Marketing Strategies For eCommerce Websites  #ecommerce #SMM #socialmediamarketing https://t.co/…",FALSE,0,NA,2021-09-27 04:53:04,FALSE,NA,"1442351559350779911",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","TasnimTithi",1,TRUE,FALSE,NA,NA
